survey id,id,income,childs,age,degree,rincome,health,wrkstat
2583,410,2,3,35,0,2,2,7
2588,411,12,2,33,1,12,3,1
2589,412,11,3,37,1,10,3,1
2592,413,12,0,41,1,10,3,1
2625,414,12,0,30,2,12,1,2
2629,415,12,4,45,4,11,2,2
2645,416,10,3,41,1,8,4,1
2651,417,12,4,36,1,12,2,1
2663,418,11,0,66,1,11,2,1
2669,419,12,2,42,1,12,1,1
2684,420,12,3,34,1,11,2,1
2693,421,12,2,55,3,12,2,1
2695,422,12,3,37,3,12,2,1
2710,423,12,0,61,3,12,2,1
2711,424,12,3,53,1,12,2,2
2716,425,12,2,34,3,12,3,1
2720,426,12,1,49,3,12,3,1
2723,427,12,1,57,3,12,1,1
2735,428,12,0,32,2,12,2,1
2739,429,12,1,43,4,12,4,1
2749,430,12,3,60,1,8,1,7
2755,431,12,3,61,1,12,2,1
2766,432,7,5,42,0,3,2,3
2774,433,12,3,59,1,12,1,1
2776,434,12,3,52,4,12,3,1
2786,435,12,5,43,0,12,3,1
2787,436,8,6,55,0,8,3,5
2788,437,12,3,55,0,5,3,3
2804,438,1,3,54,1,1,4,2
2808,439,11,1,58,1,9,2,7
2831,440,11,2,35,1,12,2,1
2842,441,12,2,38,1,9,2,1
2844,442,11,0,24,1,11,2,1
2856,443,12,2,35,2,12,3,1
